TR_A_interestDueVal_t,TR_A_interestPayment_t,TR_A_interestShortfall_t,TR_A_principalPayment_t,TR_A_notionalBalanceVal_t,TR_B_interestDueVal_t,TR_B_interestPayment_t,TR_B_interestShortfall_t,TR_B_principalPayment_t,TR_B_notionalBalanceVal_t,reserveAccount_t
0,0,0,0,21265780.738312494,0,0,0,0,7088593.579437498,392819.10715873423
117621.09986331928,117621.09986331928,0,309835.7972660266,20955944.94104647,39748.243792725014,39748.243792725014,0,0,7088593.579437498,624002.103099416
114170.09482854034,114170.09482854034,0,314102.5648280346,20641842.376218434,39748.243792725014,39748.243792725014,0,0,7088593.579437498,842844.5104863003
112345.44920518265,112345.44920518265,0,329894.1584166112,20311948.21780182,39748.243792725014,39748.243792725014,0,0,7088593.579437498,1064402.3145684893
110427.88676841109,110427.88676841109,0,346693.4281331738,19965254.78966865,39748.243792725014,39748.243792725014,0,0,7088593.579437498,1288471.9016991013
108453.28882062125,108453.28882062125,0,357005.3931889425,19608249.396479703,39748.243792725014,39748.243792725014,0,0,7088593.579437498,1494127.165820952
106367.50134424181,106367.50134424181,0,377108.3520809341,19231141.04439877,39748.243792725014,39748.243792725014,0,0,7088593.579437498,1712531.9119035834
104247.17580782178,104247.17580782178,0,383352.7998271606,18847788.24457161,39748.243792725014,39748.243792725014,0,0,7088593.579437498,1928141.998298546
102066.76877501878,102066.76877501878,0,394215.476081629,18453572.768489983,39748.243792725014,39748.243792725014,0,0,7088593.579437498,2141083.879158748
99837.25264876126,99837.25264876126,0,403094.3525321524,18050478.41595783,39748.243792725014,39748.243792725014,0,0,7088593.579437498,2351514.531935765
97584.56836281328,97584.56836281328,0,407283.13332624116,17643195.282631587,39748.243792725014,39748.243792725014,0,0,7088593.579437498,2551720.637192259
95265.89485093296,95265.89485093296,0,419213.9213515121,17223981.361280076,39748.243792725014,39748.243792725014,0,0,7088593.579437498,2751484.8497918076
92863.39400605182,92863.39400605182,0,434369.8218280816,16789611.539451994,39748.243792725014,39748.243792725014,0,0,7088593.579437498,2935593.14858827
90277.79629821036,90277.79629821036,0,467473.55700919847,16322137.982442796,39748.243792725014,39748.243792725014,0,0,7088593.579437498,3133729.033497217
87624.32190066982,87624.32190066982,0,479745.59665225685,15842392.385790538,39748.243792725014,39748.243792725014,0,0,7088593.579437498,3321910.375194043
84867.90907011666,84867.90907011666,0,498356.76546921046,15344035.620321328,39748.243792725014,39748.243792725014,0,0,7088593.579437498,3514458.9415971683
82033.32059373765,82033.32059373765,0,512490.8463878579,14831544.77393347,39748.243792725014,39748.243792725014,0,0,7088593.579437498,3694831.2421814604
79096.821967282,79096.821967282,0,530916.1026476354,14300628.671285834,39748.243792725014,39748.243792725014,0,0,7088593.579437498,3875371.186526824
76049.86086838567,76049.86086838567,0,550887.6104932923,13749741.060792543,39748.243792725014,39748.243792725014,0,0,7088593.579437498,4047565.582908243
72913.20711539612,72913.20711539612,0,567103.955332785,13182637.105459757,39748.243792725014,39748.243792725014,0,0,7088593.579437498,4210170.547021702
69554.51655919889,69554.51655919889,0,607247.9939307701,12575389.111528989,39748.243792725014,39748.243792725014,0,0,7088593.579437498,4372396.868652536
66083.56428632754,66083.56428632754,0,627544.8033881906,11947844.308140798,39748.243792725014,39748.243792725014,0,0,7088593.579437498,4540193.105704261
62547.02708757372,62547.02708757372,0,639402.494356697,11308441.8137841,39748.243792725014,39748.243792725014,0,0,7088593.579437498,4705771.591833499
58947.33770241203,58947.33770241203,0,650820.3483884608,10657621.465395639,39748.243792725014,39748.243792725014,0,0,7088593.579437498,4859126.726969761
55203.38175070158,55203.38175070158,0,676903.6036518456,9980717.861743793,39748.243792725014,39748.243792725014,0,0,7088593.579437498,5004920.55235306
51262.054820087375,51262.054820087375,0,712588.0851466684,9268129.776597124,39748.243792725014,39748.243792725014,0,0,7088593.579437498,5155833.821771251
47162.90249492207,47162.90249492207,0,741122.7633579891,8527007.013239134,39748.243792725014,39748.243792725014,0,0,7088593.579437498,5313338.457411721
42979.833056100244,42979.833056100244,0,756294.8960900023,7770712.117149131,39748.243792725014,39748.243792725014,0,0,7088593.579437498,5470838.21189928
38763.68974677037,38763.68974677037,0,762274.6197893119,7008437.49735982,39748.243792725014,39748.243792725014,0,0,7088593.579437498,5619659.027032705
34424.77362206325,34424.77362206325,0,784471.825694304,6223965.671665516,39748.243792725014,39748.243792725014,0,0,7088593.579437498,5763464.22695136
29999.085831973676,29999.085831973676,0,800160.0586088559,5423805.61305666,39748.243792725014,39748.243792725014,0,0,7088593.579437498,5904504.1967679085
25430.73586169247,25430.73586169247,0,825953.2423754612,4597852.370681198,39748.243792725014,39748.243792725014,0,0,7088593.579437498,6048492.320988728
20801.540708160097,20801.540708160097,0,836953.9924747669,3760898.378206432,39748.243792725014,39748.243792725014,0,0,7088593.579437498,6194204.684040406
16100.670639658396,16100.670639658396,0,849912.7475616189,2910985.630644813,39748.243792725014,39748.243792725014,0,0,7088593.579437498,6333072.067484512
11314.75665906181,11314.75665906181,0,865288.6043580568,2045697.0262867548,39748.243792725014,39748.243792725014,0,0,7088593.579437498,6479064.387235219
6485.644112438048,6485.644112438048,0,873098.8631841615,1172598.1631025933,39748.243792725014,39748.243792725014,0,0,7088593.579437498,6617818.898627017
1573.326336410969,1573.326336410969,0,888142.2879338707,284455.8751687221,39748.243792725014,39748.243792725014,0,0,7088593.579437498,6755304.303740862
0,0,0,284455.8751687221,0.0,36294.12720416552,36294.12720416552,0,615997.7482268736,6472595.831210624,6881194.243727351
0,0,0,0,0.0,31094.171896721782,31094.171896721782,0,927345.8721326962,5545249.959077928,7015559.521675269
0,0,0,0,0.0,25820.976598896283,25820.976598896283,0,940407.292614203,4604842.666463725,7147634.941558875
0,0,0,0,0.0,20456.242959310992,20456.242959310992,0,956731.9912613817,3648110.6752023436,7278939.400100885
0,0,0,0,0.0,15058.289509072421,15058.289509072421,0,962656.3218490407,2685454.353353303,7404955.231001998
0,0,0,0,0.0,9572.45738715547,9572.45738715547,0,978328.3648977168,1707125.9884555861,7535870.579585865
0,0,0,0,0.0,4069.9390675376635,4069.9390675376635,0,981304.1359658502,725821.8524897359,7923579.359590344
0,0,0,0,0.0,0,0,0,725821.8524897359,0.0,9045003.220831107
0,0,0,0,0.0,0,0,0,0,0.0,10165443.799390014
0,0,0,0,0.0,0,0,0,0,0.0,11281706.521207578
0,0,0,0,0.0,0,0,0,0,0.0,12398183.744978132
0,0,0,0,0.0,0,0,0,0,0.0,13522385.189951537
0,0,0,0,0.0,0,0,0,0,0.0,14650098.773914484
0,0,0,0,0.0,0,0,0,0,0.0,15780753.242213449
0,0,0,0,0.0,0,0,0,0,0.0,16914325.458915003
0,0,0,0,0.0,0,0,0,0,0.0,18043588.50249379
0,0,0,0,0.0,0,0,0,0,0.0,19168585.46468104
0,0,0,0,0.0,0,0,0,0,0.0,20296399.4172911
0,0,0,0,0.0,0,0,0,0,0.0,21428749.97837598
0,0,0,0,0.0,0,0,0,0,0.0,22568274.01916125
0,0,0,0,0.0,0,0,0,0,0.0,23713754.46766676
0,0,0,0,0.0,0,0,0,0,0.0,24865294.822120234
0,0,0,0,0.0,0,0,0,0,0.0,26016148.424084254
0,0,0,0,0.0,0,0,0,0,0.0,27168340.93729947
0,0,0,0,0.0,0,0,0,0,0.0,28318902.347189963
0,0,0,0,0.0,0,0,0,0,0.0,29483588.908610407
0,0,0,0,0.0,0,0,0,0,0.0,30657361.735563193
0,0,0,0,0.0,0,0,0,0,0.0,31836049.170761745
0,0,0,0,0.0,0,0,0,0,0.0,33024120.885162048
0,0,0,0,0.0,0,0,0,0,0.0,34220067.837846525
0,0,0,0,0.0,0,0,0,0,0.0,35419813.749518216
0,0,0,0,0.0,0,0,0,0,0.0,36631277.085588075
0,0,0,0,0.0,0,0,0,0,0.0,37848146.82961929
0,0,0,0,0.0,0,0,0,0,0.0,39070319.06916273
0,0,0,0,0.0,0,0,0,0,0.0,40301536.36047118
